
Nexts,Game,Status,Color,head,tail,Shape,head,tail
,,,Yellow(size =0),head:none(-1),tail:none(-1),Square(size =0),head:none(-1),tail:none(-1)
,,,Blue(size =1),head:Rb(0),tail:Rb(0),Triangle(size =0),head:none(-1),tail:none(-1)

N:,M:Rb(0)(0)(0)__,Before shifting,Red(size =0),head:none(-1),tail:none(-1),Cercle(size =0),head:none(-1),tail:none(-1)
,,,Green(size =0),head:none(-1),tail:none(-1),Rhombus(size =1),head:Rb(0),tail:Rb(0)
,,,Yellow(size =0),head:none(-1),tail:none(-1),Square(size =0),head:none(-1),tail:none(-1)
,,,Blue(size =1),head:Rb(0),tail:Rb(0),Triangle(size =0),head:none(-1),tail:none(-1)

N:,M:Rb(0)(0)(0)__,Before shifting,Red(size =0),head:none(-1),tail:none(-1),Cercle(size =0),head:none(-1),tail:none(-1)
,,,Green(size =0),head:none(-1),tail:none(-1),Rhombus(size =1),head:Rb(0),tail:Rb(0)
,,,Yellow(size =0),head:none(-1),tail:none(-1),Square(size =0),head:none(-1),tail:none(-1)
,,,Blue(size =1),head:Rb(0),tail:Rb(0),Triangle(size =0),head:none(-1),tail:none(-1)

N:,M:Rb(0)(0)(0)__,Before shifting,Red(size =0),head:none(-1),tail:none(-1),Cercle(size =0),head:none(-1),tail:none(-1)
,,,Green(size =0),head:none(-1),tail:none(-1),Rhombus(size =1),head:Rb(0),tail:Rb(0)
,,,Yellow(size =0),head:none(-1),tail:none(-1),Square(size =0),head:none(-1),tail:none(-1)
,,,Blue(size =1),head:Rb(0),tail:Rb(0),Triangle(size =0),head:none(-1),tail:none(-1)

N:,M:Rb(0)(0)(0)__,Before shifting,Red(size =0),head:none(-1),tail:none(-1),Cercle(size =0),head:none(-1),tail:none(-1)
,,,Green(size =0),head:none(-1),tail:none(-1),Rhombus(size =1),head:Rb(0),tail:Rb(0)
,,,Yellow(size =0),head:none(-1),tail:none(-1),Square(size =0),head:none(-1),tail:none(-1)
,,,Blue(size =1),head:Rb(0),tail:Rb(0),Triangle(size =0),head:none(-1),tail:none(-1)

N:,M:Rb(0)(0)(0)__,Before shifting,Red(size =0),head:none(-1),tail:none(-1),Cercle(size =0),head:none(-1),tail:none(-1)
,,,Green(size =0),head:none(-1),tail:none(-1),Rhombus(size =1),head:Rb(0),tail:Rb(0)
,,,Yellow(size =0),head:none(-1),tail:none(-1),Square(size =0),head:none(-1),tail:none(-1)
,,,Blue(size =1),head:Rb(0),tail:Rb(0),Triangle(size =0),head:none(-1),tail:none(-1)

N:Sr,M:Rb(0)(0)(0)__,Before shifting,Red(size =0),head:none(-1),tail:none(-1),Cercle(size =0),head:none(-1),tail:none(-1)
,,,Green(size =0),head:none(-1),tail:none(-1),Rhombus(size =1),head:Rb(0),tail:Rb(0)
,,,Yellow(size =0),head:none(-1),tail:none(-1),Square(size =0),head:none(-1),tail:none(-1)
,,,Blue(size =1),head:Rb(0),tail:Rb(0),Triangle(size =0),head:none(-1),tail:none(-1)

N:Sr,M:Rb(0)(0)(0)__,Before shifting,Red(size =0),head:none(-1),tail:none(-1),Cercle(size =0),head:none(-1),tail:none(-1)
,,,Green(size =0),head:none(-1),tail:none(-1),Rhombus(size =1),head:Rb(0),tail:Rb(0)
,,,Yellow(size =0),head:none(-1),tail:none(-1),Square(size =0),head:none(-1),tail:none(-1)
,,,Blue(size =1),head:Rb(0),tail:Rb(0),Triangle(size =0),head:none(-1),tail:none(-1)

N:Sr,M:Rb(0)(0)(0)__,Before shifting,Red(size =0),head:none(-1),tail:none(-1),Cercle(size =0),head:none(-1),tail:none(-1)
,,,Green(size =0),head:none(-1),tail:none(-1),Rhombus(size =1),head:Rb(0),tail:Rb(0)
,,,Yellow(size =0),head:none(-1),tail:none(-1),Square(size =0),head:none(-1),tail:none(-1)
,,,Blue(size =1),head:Rb(0),tail:Rb(0),Triangle(size =0),head:none(-1),tail:none(-1)

N:Sr,M:Rb(0)(0)(0)__,Before shifting,Red(size =0),head:none(-1),tail:none(-1),Cercle(size =0),head:none(-1),tail:none(-1)
,,,Green(size =0),head:none(-1),tail:none(-1),Rhombus(size =1),head:Rb(0),tail:Rb(0)
,,,Yellow(size =0),head:none(-1),tail:none(-1),Square(size =0),head:none(-1),tail:none(-1)
,,,Blue(size =1),head:Rb(0),tail:Rb(0),Triangle(size =0),head:none(-1),tail:none(-1)

N:Sr,M:Rb(0)(0)(0)__,Before shifting,Red(size =0),head:none(-1),tail:none(-1),Cercle(size =0),head:none(-1),tail:none(-1)
,,,Green(size =0),head:none(-1),tail:none(-1),Rhombus(size =1),head:Rb(0),tail:Rb(0)
,,,Yellow(size =0),head:none(-1),tail:none(-1),Square(size =0),head:none(-1),tail:none(-1)
,,,Blue(size =1),head:Rb(0),tail:Rb(0),Triangle(size =0),head:none(-1),tail:none(-1)

N:Sr,M:Rb(0)(0)(0)__,Before shifting,Red(size =0),head:none(-1),tail:none(-1),Cercle(size =0),head:none(-1),tail:none(-1)
,,,Green(size =0),head:none(-1),tail:none(-1),Rhombus(size =1),head:Rb(0),tail:Rb(0)
,,,Yellow(size =0),head:none(-1),tail:none(-1),Square(size =0),head:none(-1),tail:none(-1)
,,,Blue(size =1),head:Rb(0),tail:Rb(0),Triangle(size =0),head:none(-1),tail:none(-1)

N:Sr,M:Rb(0)(0)(0)__,Before shifting,Red(size =0),head:none(-1),tail:none(-1),Cercle(size =0),head:none(-1),tail:none(-1)
,,,Green(size =0),head:none(-1),tail:none(-1),Rhombus(size =1),head:Rb(0),tail:Rb(0)
,,,Yellow(size =0),head:none(-1),tail:none(-1),Square(size =0),head:none(-1),tail:none(-1)
,,,Blue(size =1),head:Rb(0),tail:Rb(0),Triangle(size =0),head:none(-1),tail:none(-1)

N:Sr,M:Rb(0)(0)(0)__,Before shifting,Red(size =0),head:none(-1),tail:none(-1),Cercle(size =0),head:none(-1),tail:none(-1)
,,,Green(size =0),head:none(-1),tail:none(-1),Rhombus(size =1),head:Rb(0),tail:Rb(0)
,,,Yellow(size =0),head:none(-1),tail:none(-1),Square(size =0),head:none(-1),tail:none(-1)
,,,Blue(size =1),head:Rb(0),tail:Rb(0),Triangle(size =0),head:none(-1),tail:none(-1)

N:,M:Sr(0)(0)(0)__Rb(1)(0)(0)__,Before shifting,Red(size =1),head:Sr(0),tail:Sr(0),Cercle(size =0),head:none(-1),tail:none(-1)
,,,Green(size =0),head:none(-1),tail:none(-1),Rhombus(size =1),head:Rb(1),tail:Rb(1)
,,,Yellow(size =0),head:none(-1),tail:none(-1),Square(size =1),head:Sr(0),tail:Sr(0)
,,,Blue(size =1),head:Rb(1),tail:Rb(1),Triangle(size =0),head:none(-1),tail:none(-1)

N:,M:Sr(0)(0)(0)__Rb(1)(0)(0)__,Before shifting,Red(size =1),head:Sr(0),tail:Sr(0),Cercle(size =0),head:none(-1),tail:none(-1)
,,,Green(size =0),head:none(-1),tail:none(-1),Rhombus(size =1),head:Rb(1),tail:Rb(1)
,,,Yellow(size =0),head:none(-1),tail:none(-1),Square(size =1),head:Sr(0),tail:Sr(0)
,,,Blue(size =1),head:Rb(1),tail:Rb(1),Triangle(size =0),head:none(-1),tail:none(-1)

N:,M:Sr(0)(0)(0)__Rb(1)(0)(0)__,Before shifting,Red(size =1),head:Sr(0),tail:Sr(0),Cercle(size =0),head:none(-1),tail:none(-1)
,,,Green(size =0),head:none(-1),tail:none(-1),Rhombus(size =1),head:Rb(1),tail:Rb(1)
,,,Yellow(size =0),head:none(-1),tail:none(-1),Square(size =1),head:Sr(0),tail:Sr(0)
,,,Blue(size =1),head:Rb(1),tail:Rb(1),Triangle(size =0),head:none(-1),tail:none(-1)

N:,M:Sr(0)(0)(0)__Rb(1)(0)(0)__,Before shifting,Red(size =1),head:Sr(0),tail:Sr(0),Cercle(size =0),head:none(-1),tail:none(-1)
,,,Green(size =0),head:none(-1),tail:none(-1),Rhombus(size =1),head:Rb(1),tail:Rb(1)
,,,Yellow(size =0),head:none(-1),tail:none(-1),Square(size =1),head:Sr(0),tail:Sr(0)
,,,Blue(size =1),head:Rb(1),tail:Rb(1),Triangle(size =0),head:none(-1),tail:none(-1)

N:,M:Sr(0)(0)(0)__Rb(1)(0)(0)__,Before shifting,Red(size =1),head:Sr(0),tail:Sr(0),Cercle(size =0),head:none(-1),tail:none(-1)
,,,Green(size =0),head:none(-1),tail:none(-1),Rhombus(size =1),head:Rb(1),tail:Rb(1)
,,,Yellow(size =0),head:none(-1),tail:none(-1),Square(size =1),head:Sr(0),tail:Sr(0)
,,,Blue(size =1),head:Rb(1),tail:Rb(1),Triangle(size =0),head:none(-1),tail:none(-1)

N:,M:Sr(0)(0)(0)__Rb(1)(0)(0)__,Before shifting,Red(size =1),head:Sr(0),tail:Sr(0),Cercle(size =0),head:none(-1),tail:none(-1)
,,,Green(size =0),head:none(-1),tail:none(-1),Rhombus(size =1),head:Rb(1),tail:Rb(1)
,,,Yellow(size =0),head:none(-1),tail:none(-1),Square(size =1),head:Sr(0),tail:Sr(0)
,,,Blue(size =1),head:Rb(1),tail:Rb(1),Triangle(size =0),head:none(-1),tail:none(-1)

N:,M:Sr(0)(0)(0)__Rb(1)(0)(0)__,Before shifting,Red(size =1),head:Sr(0),tail:Sr(0),Cercle(size =0),head:none(-1),tail:none(-1)
,,,Green(size =0),head:none(-1),tail:none(-1),Rhombus(size =1),head:Rb(1),tail:Rb(1)
,,,Yellow(size =0),head:none(-1),tail:none(-1),Square(size =1),head:Sr(0),tail:Sr(0)
,,,Blue(size =1),head:Rb(1),tail:Rb(1),Triangle(size =0),head:none(-1),tail:none(-1)

N:,M:Sr(0)(0)(0)__Rb(1)(0)(0)__,Before shifting,Red(size =1),head:Sr(0),tail:Sr(0),Cercle(size =0),head:none(-1),tail:none(-1)
,,,Green(size =0),head:none(-1),tail:none(-1),Rhombus(size =1),head:Rb(1),tail:Rb(1)
,,,Yellow(size =0),head:none(-1),tail:none(-1),Square(size =1),head:Sr(0),tail:Sr(0)
,,,Blue(size =1),head:Rb(1),tail:Rb(1),Triangle(size =0),head:none(-1),tail:none(-1)

N:,M:Rb(0)(0)(0)__Sr(1)(0)(0)__,Before shifting,Red(size =1),head:Sr(1),tail:Sr(1),Cercle(size =0),head:none(-1),tail:none(-1)
,,,Green(size =0),head:none(-1),tail:none(-1),Rhombus(size =1),head:Rb(0),tail:Rb(0)
,,,Yellow(size =0),head:none(-1),tail:none(-1),Square(size =1),head:Sr(1),tail:Sr(1)
,,,Blue(size =1),head:Rb(0),tail:Rb(0),Triangle(size =0),head:none(-1),tail:none(-1)

N:,M:Rb(0)(0)(0)__Sr(1)(0)(0)__,Before shifting,Red(size =1),head:Sr(1),tail:Sr(1),Cercle(size =0),head:none(-1),tail:none(-1)
,,,Green(size =0),head:none(-1),tail:none(-1),Rhombus(size =1),head:Rb(0),tail:Rb(0)
,,,Yellow(size =0),head:none(-1),tail:none(-1),Square(size =1),head:Sr(1),tail:Sr(1)
,,,Blue(size =1),head:Rb(0),tail:Rb(0),Triangle(size =0),head:none(-1),tail:none(-1)

N:,M:Rb(0)(0)(0)__Sr(1)(0)(0)__,Before shifting,Red(size =1),head:Sr(1),tail:Sr(1),Cercle(size =0),head:none(-1),tail:none(-1)
,,,Green(size =0),head:none(-1),tail:none(-1),Rhombus(size =1),head:Rb(0),tail:Rb(0)
,,,Yellow(size =0),head:none(-1),tail:none(-1),Square(size =1),head:Sr(1),tail:Sr(1)
,,,Blue(size =1),head:Rb(0),tail:Rb(0),Triangle(size =0),head:none(-1),tail:none(-1)

N:,M:Rb(0)(0)(0)__Sr(1)(0)(0)__,Before shifting,Red(size =1),head:Sr(1),tail:Sr(1),Cercle(size =0),head:none(-1),tail:none(-1)
,,,Green(size =0),head:none(-1),tail:none(-1),Rhombus(size =1),head:Rb(0),tail:Rb(0)
,,,Yellow(size =0),head:none(-1),tail:none(-1),Square(size =1),head:Sr(1),tail:Sr(1)
,,,Blue(size =1),head:Rb(0),tail:Rb(0),Triangle(size =0),head:none(-1),tail:none(-1)

N:,M:Rb(0)(0)(0)__Sr(1)(0)(0)__,Before shifting,Red(size =1),head:Sr(1),tail:Sr(1),Cercle(size =0),head:none(-1),tail:none(-1)
,,,Green(size =0),head:none(-1),tail:none(-1),Rhombus(size =1),head:Rb(0),tail:Rb(0)
,,,Yellow(size =0),head:none(-1),tail:none(-1),Square(size =1),head:Sr(1),tail:Sr(1)
,,,Blue(size =1),head:Rb(0),tail:Rb(0),Triangle(size =0),head:none(-1),tail:none(-1)

N:,M:Rb(0)(0)(0)__Sr(1)(0)(0)__,Before shifting,Red(size =1),head:Sr(1),tail:Sr(1),Cercle(size =0),head:none(-1),tail:none(-1)
,,,Green(size =0),head:none(-1),tail:none(-1),Rhombus(size =1),head:Rb(0),tail:Rb(0)
,,,Yellow(size =0),head:none(-1),tail:none(-1),Square(size =1),head:Sr(1),tail:Sr(1)
,,,Blue(size =1),head:Rb(0),tail:Rb(0),Triangle(size =0),head:none(-1),tail:none(-1)

N:,M:Rb(0)(0)(0)__Sr(1)(0)(0)__,Before shifting,Red(size =1),head:Sr(1),tail:Sr(1),Cercle(size =0),head:none(-1),tail:none(-1)
,,,Green(size =0),head:none(-1),tail:none(-1),Rhombus(size =1),head:Rb(0),tail:Rb(0)
,,,Yellow(size =0),head:none(-1),tail:none(-1),Square(size =1),head:Sr(1),tail:Sr(1)
,,,Blue(size =1),head:Rb(0),tail:Rb(0),Triangle(size =0),head:none(-1),tail:none(-1)

N:,M:Rb(0)(0)(0)__Sr(1)(0)(0)__,Before shifting,Red(size =1),head:Sr(1),tail:Sr(1),Cercle(size =0),head:none(-1),tail:none(-1)
,,,Green(size =0),head:none(-1),tail:none(-1),Rhombus(size =1),head:Rb(0),tail:Rb(0)
,,,Yellow(size =0),head:none(-1),tail:none(-1),Square(size =1),head:Sr(1),tail:Sr(1)
,,,Blue(size =1),head:Rb(0),tail:Rb(0),Triangle(size =0),head:none(-1),tail:none(-1)

N:Rr,M:Rb(0)(0)(0)__Sr(1)(0)(0)__,Before shifting,Red(size =1),head:Sr(1),tail:Sr(1),Cercle(size =0),head:none(-1),tail:none(-1)
,,,Green(size =0),head:none(-1),tail:none(-1),Rhombus(size =1),head:Rb(0),tail:Rb(0)
,,,Yellow(size =0),head:none(-1),tail:none(-1),Square(size =1),head:Sr(1),tail:Sr(1)
,,,Blue(size =1),head:Rb(0),tail:Rb(0),Triangle(size =0),head:none(-1),tail:none(-1)

N:Rr,M:Rb(0)(0)(0)__Sr(1)(0)(0)__,Before shifting,Red(size =1),head:Sr(1),tail:Sr(1),Cercle(size =0),head:none(-1),tail:none(-1)
,,,Green(size =0),head:none(-1),tail:none(-1),Rhombus(size =1),head:Rb(0),tail:Rb(0)
,,,Yellow(size =0),head:none(-1),tail:none(-1),Square(size =1),head:Sr(1),tail:Sr(1)
,,,Blue(size =1),head:Rb(0),tail:Rb(0),Triangle(size =0),head:none(-1),tail:none(-1)

N:Rr,M:Rb(0)(0)(0)__Sr(1)(0)(0)__,Before shifting,Red(size =1),head:Sr(1),tail:Sr(1),Cercle(size =0),head:none(-1),tail:none(-1)
,,,Green(size =0),head:none(-1),tail:none(-1),Rhombus(size =1),head:Rb(0),tail:Rb(0)
,,,Yellow(size =0),head:none(-1),tail:none(-1),Square(size =1),head:Sr(1),tail:Sr(1)
,,,Blue(size =1),head:Rb(0),tail:Rb(0),Triangle(size =0),head:none(-1),tail:none(-1)

N:Rr,M:Rb(0)(0)(0)__Sr(1)(0)(0)__,Before shifting,Red(size =1),head:Sr(1),tail:Sr(1),Cercle(size =0),head:none(-1),tail:none(-1)
,,,Green(size =0),head:none(-1),tail:none(-1),Rhombus(size =1),head:Rb(0),tail:Rb(0)
,,,Yellow(size =0),head:none(-1),tail:none(-1),Square(size =1),head:Sr(1),tail:Sr(1)
,,,Blue(size =1),head:Rb(0),tail:Rb(0),Triangle(size =0),head:none(-1),tail:none(-1)

N:Rr,M:Rb(0)(0)(0)__Sr(1)(0)(0)__,Before shifting,Red(size =1),head:Sr(1),tail:Sr(1),Cercle(size =0),head:none(-1),tail:none(-1)
,,,Green(size =0),head:none(-1),tail:none(-1),Rhombus(size =1),head:Rb(0),tail:Rb(0)
,,,Yellow(size =0),head:none(-1),tail:none(-1),Square(size =1),head:Sr(1),tail:Sr(1)
,,,Blue(size =1),head:Rb(0),tail:Rb(0),Triangle(size =0),head:none(-1),tail:none(-1)

N:Rr,M:Rb(0)(0)(0)__Sr(1)(0)(0)__,Before shifting,Red(size =1),head:Sr(1),tail:Sr(1),Cercle(size =0),head:none(-1),tail:none(-1)
,,,Green(size =0),head:none(-1),tail:none(-1),Rhombus(size =1),head:Rb(0),tail:Rb(0)
,,,Yellow(size =0),head:none(-1),tail:none(-1),Square(size =1),head:Sr(1),tail:Sr(1)
,,,Blue(size =1),head:Rb(0),tail:Rb(0),Triangle(size =0),head:none(-1),tail:none(-1)

N:Rr,M:Rb(0)(0)(0)__Sr(1)(0)(0)__,Before shifting,Red(size =1),head:Sr(1),tail:Sr(1),Cercle(size =0),head:none(-1),tail:none(-1)
,,,Green(size =0),head:none(-1),tail:none(-1),Rhombus(size =1),head:Rb(0),tail:Rb(0)
,,,Yellow(size =0),head:none(-1),tail:none(-1),Square(size =1),head:Sr(1),tail:Sr(1)
,,,Blue(size =1),head:Rb(0),tail:Rb(0),Triangle(size =0),head:none(-1),tail:none(-1)

N:Rr,M:Rb(0)(0)(0)__Sr(1)(0)(0)__,Before shifting,Red(size =1),head:Sr(1),tail:Sr(1),Cercle(size =0),head:none(-1),tail:none(-1)
,,,Green(size =0),head:none(-1),tail:none(-1),Rhombus(size =1),head:Rb(0),tail:Rb(0)
,,,Yellow(size =0),head:none(-1),tail:none(-1),Square(size =1),head:Sr(1),tail:Sr(1)
,,,Blue(size =1),head:Rb(0),tail:Rb(0),Triangle(size =0),head:none(-1),tail:none(-1)

N:,M:Rr(0)(0)(0)__Rb(1)(0)(1)__Sr(2)(1)(0)__,Before shifting,Red(size =2),head:Rr(0),tail:Sr(0),Cercle(size =0),head:none(-1),tail:none(-1)
,,,Green(size =0),head:none(-1),tail:none(-1),Rhombus(size =2),head:Rr(0),tail:Rb(1)
,,,Yellow(size =0),head:none(-1),tail:none(-1),Square(size =1),head:Sr(2),tail:Sr(2)
,,,Blue(size =1),head:Rb(1),tail:Rb(1),Triangle(size =0),head:none(-1),tail:none(-1)

N:,M:Sr(0)(0)(0)__Rb(1)(0)(0)__Rr(2)(1)(1)__,Before Evaluation,Red(size =2),head:Sr(0),tail:Rr(0),Cercle(size =0),head:none(-1),tail:none(-1)
,,,Green(size =0),head:none(-1),tail:none(-1),Rhombus(size =2),head:Rb(1),tail:Rr(2)
,,,Yellow(size =0),head:none(-1),tail:none(-1),Square(size =1),head:Sr(0),tail:Sr(0)
,,,Blue(size =1),head:Rb(1),tail:Rb(1),Triangle(size =0),head:none(-1),tail:none(-1)

N:,M:Sr(0)(0)(0)__Rb(1)(0)(0)__Rr(2)(1)(1)__,After Evaluation ,Red(size =2),head:Sr(0),tail:Rr(0),Cercle(size =0),head:none(-1),tail:none(-1)
,,,Green(size =0),head:none(-1),tail:none(-1),Rhombus(size =2),head:Rb(1),tail:Rr(2)
,,,Yellow(size =0),head:none(-1),tail:none(-1),Square(size =1),head:Sr(0),tail:Sr(0)
,,,Blue(size =1),head:Rb(1),tail:Rb(1),Triangle(size =0),head:none(-1),tail:none(-1)

